Date : 2024-06-27 16:43:28
Directory : /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe
Total : 144 files,  27442 codes, 462 comments, 1972 blanks, all 29876 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/TableTemplate.jsx                                                                                | JavaScript JSX |        447 |         12 |         35 |        494 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/TableTemplate.scss                                                                               | SCSS           |         33 |          1 |          4 |         38 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/VerticalDotsIcon.jsx                                                                             | JavaScript JSX |         18 |          0 |          1 |         19 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/data.js                                                                                          | JavaScript     |        219 |          0 |          4 |        223 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/utils.js                                                                                         | JavaScript     |          4 |          0 |          1 |          5 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Admin.jsx                                                                          | JavaScript JSX |         12 |          0 |          2 |         14 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Attendance/Attendance.css                                  | PostCSS        |         30 |          0 |          1 |         31 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Attendance/Attendance.jsx                                  | JavaScript JSX |         12 |          0 |          2 |         14 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Attendance/Attendance.scss                                 | SCSS           |         30 |          1 |          3 |         34 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Attendance/Components/AttendanceChart.jsx                  | JavaScript JSX |        157 |          2 |         19 |        178 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Attendance/Components/AttendanceList.jsx                   | JavaScript JSX |        255 |          0 |         20 |        275 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Body.jsx                                                   | JavaScript JSX |         29 |          0 |          4 |         33 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/BookingsManager.jsx                        | JavaScript JSX |         11 |          0 |          2 |         13 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/Components/BookingList/AddBookingForm.jsx  | JavaScript JSX |        122 |          0 |          6 |        128 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/Components/BookingList/BookingList.jsx     | JavaScript JSX |        143 |          0 |         13 |        156 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/Components/BookingList/EditBookingForm.jsx | JavaScript JSX |        138 |          0 |          7 |        145 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/bookingsManager.css                        | PostCSS        |        158 |          0 |          1 |        159 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/bookingsManager.scss                       | SCSS           |        167 |          1 |         34 |        202 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Charts/Charts.jsx                                          | JavaScript JSX |         12 |          0 |          2 |         14 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Charts/Components/BookingChart.jsx                         | JavaScript JSX |        172 |          0 |         14 |        186 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Charts/Components/ClassChart.jsx                           | JavaScript JSX |         77 |          1 |          9 |         87 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/ClassManager.css                             | PostCSS        |        130 |          0 |          1 |        131 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/ClassManager.jsx                             | JavaScript JSX |         12 |          1 |          3 |         16 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/ClassManager.scss                            | SCSS           |        136 |          2 |         27 |        165 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/Components/Classes/AddClassForm.jsx          | JavaScript JSX |        176 |         24 |         10 |        210 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/Components/Classes/ChangeClassImageForm.jsx  | JavaScript JSX |         69 |         22 |          6 |         97 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/Components/Classes/ClassList.jsx             | JavaScript JSX |        168 |          8 |         29 |        205 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/Components/Classes/EditClassForm.jsx         | JavaScript JSX |        213 |          0 |         15 |        228 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/Components/Schedules/AddScheduleForm.jsx     | JavaScript JSX |        124 |          0 |         10 |        134 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/Components/Schedules/EditScheduleForm.jsx    | JavaScript JSX |        138 |          0 |         11 |        149 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/Components/Schedules/Schedule.jsx            | JavaScript JSX |         94 |          0 |         11 |        105 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Activity Section/Activity.jsx                    | JavaScript JSX |         83 |          2 |          8 |         93 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Activity Section/activity.css                    | PostCSS        |        106 |          0 |          1 |        107 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Activity Section/activity.scss                   | SCSS           |        105 |          1 |         17 |        123 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Listing Section/Listing.jsx                      | JavaScript JSX |         69 |          2 |         20 |         91 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Listing Section/listing.css                      | PostCSS        |        157 |          0 |          1 |        158 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Listing Section/listing.scss                     | SCSS           |        163 |          3 |         32 |        198 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Main Body/MainBody.jsx                                     | JavaScript JSX |         16 |          0 |          3 |         19 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Top Section/Top.jsx                              | JavaScript JSX |         79 |          7 |         26 |        112 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Top Section/top.css                              | PostCSS        |        329 |          0 |          2 |        331 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Top Section/top.scss                             | SCSS           |        347 |         10 |         73 |        430 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Main Body/main_body.css                                    | PostCSS        |         10 |          0 |          1 |         11 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Main Body/main_body.scss                                   | SCSS           |         12 |          1 |          3 |         16 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Room Manager/Components/EditForm.jsx                       | JavaScript JSX |         99 |          0 |          9 |        108 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Room Manager/Components/RoomDetails.jsx                    | JavaScript JSX |         83 |          1 |         14 |         98 |
